id,frequency,power1,power2,power3
40,0.5879396984924623,-82.408,-114.872,-115.508
41,0.6030150753768844,-83.522,-114.159,-114.441
42,0.6180904522613065,-84.443,-115.583,-114.258
43,0.6331658291457286,-84.291,-113.901,-114.817
44,0.6482412060301507,-83.266,-114.134,-114.778
45,0.6633165829145728,-82.094,-114.423,-113.989
46,0.6783919597989949,-81.648,-113.922,-113.921
47,0.6934673366834171,-82.442,-113.825,-114.535
48,0.7085427135678392,-83.502,-115.172,-114.119
49,0.7236180904522613,-83.623,-114.204,-113.729
50,0.7386934673366834,-83.41,-114.932,-113.977
51,0.7537688442211055,-82.594,-114.61,-115.477
52,0.7688442211055276,-82.155,-114.289,-115.298
53,0.7839195979899497,-82.643,-114.861,-114.021
54,0.7989949748743719,-83.063,-114.877,-113.552
55,0.8140703517587939,-83.16,-112.898,-113.178
56,0.829145728643216,-83.519,-114.391,-113.3
57,0.8442211055276382,-83.392,-113.756,-114.137
58,0.8592964824120602,-83.256,-114.794,-114.628
59,0.8743718592964824,-83.513,-114.335,-113.523
60,0.8894472361809045,-83.368,-113.528,-113.542
61,0.9045226130653266,-83.502,-113.328,-112.733
62,0.9195979899497487,-83.561,-113.528,-114.193
63,0.9346733668341708,-83.604,-114.941,-113.521
64,0.949748743718593,-83.531,-114.337,-115.0
65,0.964824120603015,-82.973,-114.469,-112.539
66,0.9798994974874371,-82.352,-113.002,-113.94
67,0.9949748743718593,-82.893,-112.866,-113.054
68,1.0100502512562815,-84.039,-113.577,-113.418
69,1.0251256281407035,-84.568,-114.179,-113.671
70,1.0402010050251256,-84.952,-112.782,-113.306
71,1.0552763819095476,-84.362,-113.44,-114.287
72,1.0703517587939697,-84.378,-113.859,-112.784
73,1.085427135678392,-84.336,-113.447,-114.248
74,1.100502512562814,-84.553,-114.128,-113.037
75,1.1155778894472361,-84.412,-114.287,-113.318
76,1.1306532663316582,-83.601,-113.019,-113.296
77,1.1457286432160803,-82.666,-112.69,-113.006
78,1.1608040201005025,-83.058,-112.729,-113.516
79,1.1758793969849246,-84.631,-113.233,-112.557
80,1.1909547738693467,-85.619,-111.286,-112.401
81,1.2060301507537687,-85.734,-112.617,-110.836
82,1.2211055276381908,-85.388,-112.837,-112.616
83,1.236180904522613,-84.94,-111.165,-112.39
84,1.2512562814070352,-84.184,-111.756,-112.864
85,1.2663316582914572,-84.273,-112.322,-113.457
86,1.2814070351758793,-84.023,-113.214,-112.707
87,1.2964824120603013,-83.632,-112.892,-113.007
88,1.3115577889447236,-83.573,-113.466,-112.627
89,1.3266331658291457,-84.337,-110.331,-112.259
90,1.3417085427135678,-85.38,-112.98,-111.793
91,1.3567839195979898,-85.842,-113.281,-112.628
92,1.371859296482412,-85.213,-111.567,-113.014
93,1.3869346733668342,-84.158,-113.331,-111.839
94,1.4020100502512562,-83.752,-114.275,-113.479
95,1.4170854271356783,-84.438,-112.998,-112.75
96,1.4321608040201004,-85.095,-112.562,-113.596
97,1.4472361809045227,-85.07,-113.438,-112.169
98,1.4623115577889447,-83.977,-113.824,-112.36
99,1.4773869346733668,-82.86,-112.422,-112.694
100,1.4924623115577889,-83.623,-111.921,-111.794
101,1.507537688442211,-85.704,-112.401,-112.677
102,1.5226130653266332,-86.877,-112.364,-112.287
103,1.5376884422110553,-86.76,-111.807,-112.885
104,1.5527638190954773,-85.416,-111.589,-113.269
105,1.5678391959798994,-83.542,-112.043,-112.494
106,1.5829145728643215,-82.08,-112.023,-112.826
107,1.5979899497487438,-83.205,-112.637,-113.679
108,1.6130653266331658,-84.958,-112.636,-112.779
109,1.6281407035175879,-85.908,-111.763,-112.885
110,1.64321608040201,-85.984,-113.583,-113.105
111,1.658291457286432,-86.124,-111.504,-111.768
112,1.6733668341708543,-85.883,-112.837,-113.087
113,1.6884422110552764,-85.462,-111.351,-111.931
114,1.7035175879396984,-85.032,-112.662,-111.968
115,1.7185929648241205,-84.301,-113.024,-112.276
116,1.7336683417085426,-84.518,-113.595,-113.098
117,1.7487437185929648,-85.427,-112.492,-113.059
118,1.763819095477387,-85.951,-112.601,-113.262
119,1.778894472361809,-86.028,-111.962,-113.346
120,1.793969849246231,-85.902,-111.953,-112.566
121,1.809045226130653,-86.268,-112.169,-112.875
122,1.8241206030150754,-87.081,-112.289,-112.537
123,1.8391959798994975,-87.983,-112.383,-112.395
124,1.8542713567839195,-89.119,-113.105,-111.308
125,1.8693467336683416,-88.897,-112.517,-110.978
126,1.8844221105527637,-88.851,-112.596,-112.037
127,1.899497487437186,-87.083,-112.683,-112.624
128,1.914572864321608,-89.171,-112.906,-111.864
129,1.92964824120603,-91.544,-111.4,-111.713
130,1.9447236180904521,-94.21,-111.627,-111.599
131,1.9597989949748742,-99.85,-111.923,-111.733
132,1.9748743718592965,-99.846,-111.705,-112.631
133,1.9899497487437185,-102.186,-112.225,-112.288
134,2.0050251256281406,-93.511,-112.744,-112.314
135,2.020100502512563,-90.999,-112.487,-113.145
136,2.0351758793969847,-88.064,-113.436,-112.519
137,2.050251256281407,-90.217,-113.44,-112.233
138,2.065326633165829,-89.791,-112.905,-112.846
139,2.080402010050251,-89.05,-112.082,-112.889
140,2.0954773869346734,-89.232,-112.93,-113.118
141,2.1105527638190953,-89.083,-111.923,-111.598
142,2.1256281407035176,-87.884,-112.465,-111.183
