L,O,1
1503.1,-8.63,-19.07
1503.11,-8.62,-19.09
1503.12,-8.67,-19.09
1503.13,-8.67,-19.07
1503.14,-8.69,-19.06
1503.15,-8.67,-19.05
1503.16,-8.56,-19.03
1503.17,-8.54,-19.01
1503.18,-8.56,-19.03
1503.19,-8.54,-19.04
1503.2,-8.54,-19.01
1503.21,-8.54,-19.02
1503.22,-8.54,-19.0
1503.23,-8.54,-19.0
1503.24,-8.54,-19.01
1503.25,-8.54,-18.97
1503.26,-8.54,-18.94
1503.27,-8.54,-18.97
1503.28,-8.54,-18.97
1503.29,-8.55,-18.98
1503.3,-8.56,-19.0
1503.31,-8.58,-19.01
1503.32,-8.59,-18.99
1503.33,-8.61,-19.01
1503.34,-8.63,-19.0
1503.35,-8.63,-19.01
1503.36,-8.69,-19.02
1503.37,-8.7,-19.04
1503.38,-8.76,-19.02
1503.39,-8.78,-19.07
1503.4,-8.82,-19.07
1503.41,-8.84,-19.06
1503.42,-8.9,-19.08
1503.43,-8.93,-19.07
1503.44,-8.99,-19.07
1503.45,-9.04,-19.08
1503.46,-9.08,-19.08
1503.47,-9.14,-19.07
1503.48,-9.21,-19.07
1503.49,-9.26,-19.08
1503.5,-9.3,-19.1
1503.51,-9.38,-19.1
1503.52,-9.44,-19.08
1503.53,-9.49,-19.03
1503.54,-9.53,-19.06
1503.55,-9.58,-19.04
1503.56,-9.63,-19.05
1503.57,-9.71,-19.04
1503.58,-9.8,-19.03
1503.59,-9.8,-19.04
1503.6,-9.8,-19.04
1503.61,-9.82,-19.03
1503.62,-9.87,-19.0
1503.63,-9.9,-19.01
1503.64,-9.91,-19.01
1503.65,-9.87,-19.01
1503.66,-9.85,-19.03
1503.67,-9.82,-19.03
1503.68,-9.83,-19.03
1503.69,-9.81,-19.05
1503.7,-9.8,-19.05
1503.71,-9.78,-19.05
1503.72,-9.71,-19.09
1503.73,-9.71,-19.07
1503.74,-9.94,-19.09
1503.75,-10.06,-19.07
1503.76,-9.76,-19.08
1503.77,-9.45,-19.08
1503.78,-9.38,-19.08
1503.79,-9.4,-19.07
1503.8,-9.48,-19.09
1503.81,-9.42,-19.07
1503.82,-9.29,-19.06
1503.83,-9.27,-19.03
1503.84,-9.24,-19.03
1503.85,-9.21,-19.02
1503.86,-9.18,-19.01
1503.87,-9.16,-19.02
1503.88,-9.1,-19.02
1503.89,-9.09,-18.99
1503.9,-9.04,-18.99
1503.91,-9.03,-19.0
1503.92,-9.02,-18.94
1503.93,-8.97,-18.97
1503.94,-8.95,-18.95
1503.95,-8.89,-18.96
1503.96,-8.88,-18.98
1503.97,-8.86,-18.99
1503.98,-8.84,-18.97
1503.99,-8.81,-18.99
1504.0,-8.77,-18.99
1504.01,-8.76,-18.98
1504.02,-8.75,-18.98
1504.03,-8.72,-18.98
1504.04,-8.69,-18.98
1504.05,-8.68,-19.0
1504.06,-8.66,-18.99
1504.07,-8.62,-18.99
1504.08,-8.65,-18.98
1504.09,-8.63,-19.01
1504.1,-8.63,-18.98
1504.11,-8.62,-18.98
1504.12,-8.64,-18.99
1504.13,-8.66,-18.96
1504.14,-8.68,-18.96
1504.15,-8.69,-19.0
1504.16,-8.69,-18.97
1504.17,-8.71,-18.98
1504.18,-8.72,-18.99
1504.19,-8.76,-18.95
1504.2,-8.78,-18.94
1504.21,-8.81,-18.94
1504.22,-8.83,-18.94
1504.23,-8.87,-18.95
1504.24,-8.9,-18.94
1504.25,-8.97,-18.93
1504.26,-9.01,-18.94
1504.27,-9.06,-18.95
1504.28,-9.1,-18.89
1504.29,-9.13,-18.92
1504.3,-9.2,-18.94
1504.31,-9.27,-18.92
1504.32,-9.35,-18.94
1504.33,-9.37,-18.98
1504.34,-9.4,-19.0
1504.35,-9.49,-19.02
1504.36,-9.59,-19.01
1504.37,-9.66,-19.0
1504.38,-9.69,-19.01
1504.39,-9.7,-19.04
1504.4,-9.75,-19.01
1504.41,-9.83,-19.01
1504.42,-9.89,-19.04
1504.43,-9.88,-19.04
1504.44,-9.84,-19.05
1504.45,-9.84,-19.04
1504.46,-9.85,-19.03
1504.47,-9.88,-19.03
1504.48,-9.87,-19.07
1504.49,-9.82,-19.03
1504.5,-9.78,-19.02
1504.51,-9.75,-19.04
1504.52,-9.74,-19.02
1504.53,-9.72,-19.02
1504.54,-9.66,-19.02
1504.55,-9.61,-19.02
1504.56,-9.58,-18.97
1504.57,-9.55,-18.98
1504.58,-9.55,-18.91
1504.59,-9.5,-18.92
1504.6,-9.46,-18.94
1504.61,-9.43,-18.92
1504.62,-9.39,-18.92
1504.63,-9.36,-18.93
1504.64,-9.34,-18.91
1504.65,-9.31,-18.92
1504.66,-9.28,-18.93
1504.67,-9.24,-18.9
1504.68,-9.21,-18.92
1504.69,-9.17,-18.95
1504.7,-9.14,-18.92
1504.71,-9.09,-18.93
1504.72,-9.06,-18.94
1504.73,-9.02,-18.94
1504.74,-8.99,-18.95
1504.75,-8.96,-18.98
1504.76,-8.93,-18.94
1504.77,-8.89,-18.95
1504.78,-8.86,-18.94
