L,O,1
1503.2,-9.19,-48.44
1503.21,-9.13,-48.55
1503.22,-9.1,-48.65
1503.23,-9.23,-48.44
1503.24,-9.8,-47.85
1503.25,-9.59,-48.06
1503.26,-9.39,-48.28
1503.27,-9.18,-48.49
1503.28,-9.02,-48.66
1503.29,-8.96,-48.73
1503.3,-8.91,-48.8
1503.31,-8.72,-48.96
1503.32,-8.63,-49.1
1503.33,-8.62,-49.16
1503.34,-8.62,-49.05
1503.35,-8.61,-49.14
1503.36,-8.57,-49.22
1503.37,-8.56,-49.26
1503.38,-8.54,-49.32
1503.39,-8.52,-49.37
1503.4,-8.51,-49.16
1503.41,-8.48,-49.45
1503.42,-8.47,-49.46
1503.43,-8.47,-49.42
1503.44,-8.47,-49.37
1503.45,-8.47,-49.42
1503.46,-8.48,-49.5
1503.47,-8.52,-49.55
1503.48,-8.53,-49.49
1503.49,-8.55,-49.48
1503.5,-8.6,-49.43
1503.51,-8.62,-49.38
1503.52,-8.66,-49.4
1503.53,-8.71,-49.3
1503.54,-8.76,-49.38
1503.55,-8.8,-49.25
1503.56,-8.85,-49.16
1503.57,-8.9,-49.16
1503.58,-9.0,-49.15
1503.59,-9.05,-49.04
1503.6,-9.1,-49.06
1503.61,-9.18,-48.94
1503.62,-9.23,-48.86
1503.63,-9.33,-48.82
1503.64,-9.42,-48.78
1503.65,-9.47,-48.59
1503.66,-9.54,-48.44
1503.67,-9.63,-48.3
1503.68,-9.72,-48.18
1503.69,-9.79,-48.05
1503.7,-9.83,-48.23
1503.71,-9.88,-48.06
1503.72,-9.9,-48.06
1503.73,-9.95,-48.02
1503.74,-10.0,-47.79
1503.75,-9.99,-47.8
1503.76,-9.95,-47.91
1503.77,-9.93,-47.79
1503.78,-9.93,-47.81
1503.79,-9.91,-47.93
1503.8,-9.88,-47.91
1503.81,-9.87,-47.86
1503.82,-9.84,-47.86
1503.83,-9.79,-47.89
1503.84,-9.76,-47.89
1503.85,-9.72,-47.97
1503.86,-9.72,-48.0
1503.87,-9.67,-48.03
1503.88,-9.62,-48.03
1503.89,-9.55,-48.11
1503.9,-9.51,-48.18
1503.91,-9.49,-48.17
1503.92,-9.45,-48.26
1503.93,-9.42,-48.17
1503.94,-9.37,-48.36
1503.95,-9.33,-48.37
1503.96,-9.31,-48.37
1503.97,-9.31,-48.36
1503.98,-9.26,-48.45
1503.99,-9.22,-48.56
1504.0,-9.17,-48.48
1504.01,-9.14,-48.49
1504.02,-9.12,-48.56
1504.03,-9.1,-48.78
1504.04,-9.03,-48.76
1504.05,-9.0,-48.76
1504.06,-8.97,-48.83
1504.07,-8.95,-48.72
1504.08,-8.92,-48.86
1504.09,-8.88,-48.89
1504.1,-8.85,-48.96
1504.11,-8.82,-49.04
1504.12,-8.77,-49.09
1504.13,-8.74,-49.03
1504.14,-8.72,-49.21
1504.15,-8.68,-49.16
1504.16,-8.67,-49.3
1504.17,-8.64,-49.39
1504.18,-8.62,-49.26
1504.19,-8.6,-49.4
1504.2,-8.58,-49.38
1504.21,-8.58,-49.48
1504.22,-8.57,-49.52
1504.23,-8.55,-49.5
1504.24,-8.56,-49.68
1504.25,-8.55,-49.43
1504.26,-8.56,-49.6
1504.27,-8.6,-49.55
1504.28,-8.62,-49.54
1504.29,-8.62,-49.52
1504.3,-8.63,-49.62
1504.31,-8.69,-49.34
1504.32,-8.71,-49.58
1504.33,-8.75,-49.53
1504.34,-8.77,-49.45
1504.35,-8.82,-49.4
1504.36,-8.88,-49.22
1504.37,-8.94,-49.18
1504.38,-8.97,-49.23
1504.39,-9.03,-49.29
1504.4,-9.09,-49.1
1504.41,-9.14,-49.08
1504.42,-9.24,-48.9
1504.43,-9.3,-48.8
1504.44,-9.32,-48.84
1504.45,-9.39,-48.84
1504.46,-9.5,-48.67
1504.47,-9.58,-48.5
1504.48,-9.64,-48.46
1504.49,-9.65,-48.38
1504.5,-9.71,-48.46
1504.51,-9.75,-48.22
1504.52,-9.85,-48.1
1504.53,-9.86,-48.12
1504.54,-9.84,-48.07
1504.55,-9.84,-48.2
1504.56,-9.87,-48.15
1504.57,-9.89,-48.16
1504.58,-9.89,-48.02
1504.59,-9.86,-48.04
1504.6,-9.82,-47.97
1504.61,-9.8,-48.02
1504.62,-9.81,-48.07
1504.63,-9.8,-48.13
1504.64,-9.76,-48.03
1504.65,-9.72,-48.1
1504.66,-9.67,-48.13
1504.67,-9.65,-48.14
1504.68,-9.61,-48.14
1504.69,-9.56,-48.23
1504.7,-9.53,-48.23
1504.71,-9.48,-48.34
1504.72,-9.43,-48.39
1504.73,-9.4,-48.39
1504.74,-9.36,-48.51
1504.75,-9.33,-48.37
1504.76,-9.27,-48.44
1504.77,-9.24,-48.56
1504.78,-9.22,-48.6
1504.79,-9.18,-48.6
1504.8,-9.15,-48.58
1504.81,-9.1,-48.83
1504.82,-9.07,-48.84
1504.83,-9.03,-48.9
1504.84,-9.02,-48.73
1504.85,-8.98,-48.89
1504.86,-8.94,-48.88
1504.87,-8.9,-48.96
1504.88,-8.87,-49.27
1504.89,-8.85,-49.02
1504.9,-8.8,-49.06
1504.91,-8.77,-49.21
1504.92,-8.76,-49.28
1504.93,-8.74,-49.38
1504.94,-8.71,-49.29
1504.95,-8.69,-49.34
1504.96,-8.67,-49.32
1504.97,-8.65,-49.26
1504.98,-8.63,-49.46
1504.99,-8.62,-49.63
1505.0,-8.62,-49.52
1505.01,-8.6,-49.62
1505.02,-8.6,-49.5
1505.03,-8.61,-49.61
1505.04,-8.62,-49.53
1505.05,-8.62,-49.61
1505.06,-8.64,-49.55
1505.07,-8.65,-49.58
1505.08,-8.69,-49.58
1505.09,-8.73,-49.54
1505.1,-8.75,-49.43
1505.11,-8.77,-49.48
1505.12,-8.8,-49.49
1505.13,-8.83,-49.44
1505.14,-8.88,-49.35
1505.15,-8.92,-49.34
1505.16,-8.96,-49.29
1505.17,-8.99,-49.28
1505.18,-9.03,-49.13
1505.19,-9.12,-49.26
1505.2,-9.19,-49.05
1505.21,-9.25,-49.0
1505.22,-9.28,-49.0
1505.23,-9.32,-48.95
1505.24,-9.41,-48.9
1505.25,-9.51,-48.71
